,endTime,artistName,trackName,msPlayed
201,2020-08-01 21:25,Jeet Gannguli,Mera Pyar Tera Pyar,275371
202,2020-08-01 21:39,Mithoon,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",247242
203,2020-08-02 05:45,Friendly Fires,Paris (Aeroplane Remix),101973
204,2020-08-02 07:44,Jorja Smith,By Any Means,20185
205,2020-08-02 12:11,Jorja Smith,By Any Means,205446
206,2020-08-02 12:14,Bazzi,I Don't Think I'm Okay,176250
207,2020-08-02 12:16,Quinn XCII,Am I High Rn (feat. blackbear),118084
208,2020-08-02 12:17,Quinn XCII,Am I High Rn (feat. blackbear),82754
209,2020-08-02 12:21,will hyde,meant to be.,191177
210,2020-08-02 12:24,Kayden,not my type,164818
211,2020-08-02 12:26,Dabin,Alive,162764
212,2020-08-02 12:36,Pritam,Channa Mereya - Unplugged,29080
213,2020-08-02 12:36,A.R. Rahman,"Enna Sona (From ""OK Jaanu"")",213632
214,2020-08-02 12:40,Pritam,Channa Mereya - Unplugged,163209
215,2020-08-02 12:41,Armaan Malik,"Tere Mere (From ""Chef"")",61463
216,2020-08-02 12:42,Vishal Mishra,"Nai Lagda (From ""Notebook"")",3057
217,2020-08-02 12:42,Akhil,Kalla Sohna Nai,2374
218,2020-08-02 12:44,Lauv,Love Somebody,142773
219,2020-08-02 12:47,Lauv,Love Somebody,142773
220,2020-08-02 12:49,Lauv,Love Somebody,142773
221,2020-08-02 12:52,Lauv,Love Somebody,142773
222,2020-08-02 12:54,Lauv,Love Somebody,142773
223,2020-08-02 12:57,Dabin,Alive,7804
224,2020-08-02 12:57,Jeremy Zucker,you were good to me (bonus track),3604
225,2020-08-02 12:57,Lauv,Love Somebody,157862
226,2020-08-02 12:57,Zedd,Funny,4015
227,2020-08-02 12:57,Olivia O'Brien,hate u love u,8331
228,2020-08-02 12:58,Chelsea Cutler,Crazier Things (with Noah Kahan),3772
